frame_index,timestamp_sec,rhino_id,min_person_distance_px,distance_to_road_px,risk_level
276,9.2,1,,191.5,LOW
276,9.2,2,,137.5,LOW
276,9.2,3,,144.0,LOW
276,9.2,4,,189.5,LOW
277,9.23,1,,190.5,LOW
277,9.23,2,,135.5,LOW
277,9.23,3,,144.0,LOW
277,9.23,4,,189.5,LOW
278,9.27,1,,189.5,LOW
278,9.27,2,,133.5,LOW
278,9.27,3,,143.0,LOW
278,9.27,4,,189.5,LOW
279,9.3,1,,188.5,LOW
279,9.3,2,,131.5,LOW
279,9.3,3,,143.0,LOW
279,9.3,4,,189.5,LOW
280,9.33,1,,188.5,LOW
280,9.33,2,,129.5,LOW
280,9.33,3,,143.0,LOW
280,9.33,4,,188.5,LOW
281,9.37,1,,187.5,LOW
281,9.37,2,,127.5,LOW
281,9.37,3,,142.0,LOW
281,9.37,4,,188.5,LOW
282,9.4,1,,186.5,LOW
282,9.4,2,,125.5,LOW
282,9.4,3,,142.0,LOW
282,9.4,4,,188.5,LOW
283,9.43,1,,186.5,LOW
283,9.43,2,,123.5,LOW
283,9.43,3,,142.0,LOW
283,9.43,4,,187.5,LOW
284,9.47,1,,185.5,LOW
284,9.47,2,,122.5,LOW
284,9.47,3,,142.0,LOW
284,9.47,4,,187.5,LOW
285,9.5,1,,184.5,LOW
285,9.5,2,,122.5,LOW
285,9.5,3,,142.0,LOW
285,9.5,4,,187.5,LOW
286,9.53,1,,183.5,LOW
286,9.53,2,,121.5,LOW
286,9.53,3,,141.0,LOW
286,9.53,4,,186.5,LOW
287,9.57,1,,182.5,LOW
287,9.57,2,,121.5,LOW
287,9.57,3,,141.0,LOW
287,9.57,4,,186.5,LOW
288,9.6,1,,180.5,LOW
288,9.6,2,,120.5,LOW
288,9.6,3,,141.0,LOW
288,9.6,4,,185.5,LOW
289,9.63,1,,179.5,LOW
289,9.63,2,,119.5,LOW
289,9.63,3,,140.0,LOW
289,9.63,4,,185.5,LOW
290,9.67,1,,178.5,LOW
290,9.67,2,,118.5,LOW
290,9.67,3,,140.0,LOW
290,9.67,4,,184.5,LOW
291,9.7,1,85.20710064308021,177.5,MEDIUM
291,9.7,2,112.21853679316978,118.5,MEDIUM
291,9.7,3,207.43975028908997,139.0,LOW
